"filename", "language", "CSS", "JavaScript", "Vue", "comment", "blank", "total"
"e:\restrauntpro\hotpot\src\App.vue", "Vue", 0, 0, 12, 0, 4, 16
"e:\restrauntpro\hotpot\src\api\adminapi.js", "JavaScript", 0, 26, 0, 0, 2, 28
"e:\restrauntpro\hotpot\src\api\cookapi.js", "JavaScript", 0, 6, 0, 0, 3, 9
"e:\restrauntpro\hotpot\src\api\manage.js", "JavaScript", 0, 31, 0, 0, 6, 37
"e:\restrauntpro\hotpot\src\common\router.js", "JavaScript", 0, 66, 0, 0, 6, 72
"e:\restrauntpro\hotpot\src\echarts.js", "JavaScript", 0, 3, 0, 40, 2, 45
"e:\restrauntpro\hotpot\src\global.js", "JavaScript", 0, 6, 0, 0, 1, 7
"e:\restrauntpro\hotpot\src\main.js", "JavaScript", 0, 21, 0, 4, 4, 29
"e:\restrauntpro\hotpot\src\stores\CookLoginStore.js", "JavaScript", 0, 12, 0, 0, 2, 14
"e:\restrauntpro\hotpot\src\style.css", "CSS", 4, 0, 0, 0, 0, 4
"e:\restrauntpro\hotpot\src\views\AdminDashBoard.vue", "Vue", 0, 0, 276, 7, 27, 310
"e:\restrauntpro\hotpot\src\views\AdminMainArea\CustomerManage.vue", "Vue", 0, 0, 521, 66, 37, 624
"e:\restrauntpro\hotpot\src\views\AdminMainArea\DataReport.vue", "Vue", 0, 0, 1017, 198, 38, 1253
"e:\restrauntpro\hotpot\src\views\AdminMainArea\DishManage.vue", "Vue", 0, 0, 601, 250, 60, 911
"e:\restrauntpro\hotpot\src\views\AdminMainArea\EmployeeManage.vue", "Vue", 0, 0, 404, 55, 41, 500
"e:\restrauntpro\hotpot\src\views\AdminMainArea\HistoryOrder.vue", "Vue", 0, 0, 258, 30, 23, 311
"e:\restrauntpro\hotpot\src\views\AdminMainArea\ViewAnnouncement.vue", "Vue", 0, 0, 239, 30, 25, 294
"e:\restrauntpro\hotpot\src\views\CookDashBoard.vue", "Vue", 0, 0, 1096, 86, 46, 1228
"e:\restrauntpro\hotpot\src\views\CookDashBoard.vue.js", "JavaScript", 0, 0, 0, 0, 1, 1
"e:\restrauntpro\hotpot\src\views\Login.vue", "Vue", 0, 0, 281, 21, 28, 330
"e:\restrauntpro\hotpot\src\views\OrderItem.vue", "Vue", 0, 0, 186, 3, 4, 193
"e:\restrauntpro\hotpot\src\views\Test.vue", "Vue", 0, 0, 81, 1, 11, 93
"Total", "-", 4, 171, 4972, 791, 371, 6309
